gene1500	K02087
gene1501	K02088
gene1502	K02090
gene1503	K02099
gene1504	K02100
gene1505	K02101
gene1506	K02102
gene1507	K02103
gene1508	K02106
gene1509	K02108
gene1510	K02109
gene1511	K02110
gene1512	K02111
gene1513	K02112
gene1514	K02113
gene1515	K02114
gene1516	K02115
gene1517	K02116
gene1518	K02117
gene1519	K02118
gene1520	K02119
gene1521	K02120
gene1522	K02121
gene1523	K02122
gene1524	K02123
gene1525	K02124
gene1526	K02132
gene1527	K02133
gene1528	K02136
gene1529	K02144
gene1530	K02145
gene1531	K02146
gene1532	K02147
gene1533	K02148
gene1534	K02149
gene1535	K02150
gene1536	K02151
gene1537	K02152
gene1538	K02154
gene1539	K02155
gene1540	K02156
gene1541	K02160
gene1542	K02167
gene1543	K02168
gene1544	K02169
gene1545	K02170
gene1546	K02172
gene1547	K02173
gene1548	K02178
gene1549	K02179
gene1550	K02180
gene1551	K02182
gene1552	K02183
gene1553	K02184
gene1554	K02188
gene1555	K02189
gene1556	K02190
gene1557	K02191
gene1558	K02192
gene1559	K02193
gene1560	K02194
gene1561	K02195
gene1562	K02196
gene1563	K02197
gene1564	K02198
gene1565	K02199
gene1566	K02200
gene1567	K02201
gene1568	K02203
gene1569	K02204
gene1570	K02205
gene1571	K02206
gene1572	K02209
gene1573	K02210
gene1574	K02212
gene1575	K02213
gene1576	K02214
gene1577	K02217
gene1578	K02218
gene1579	K02219
gene1580	K02220
gene1581	K02221
gene1582	K02224
gene1583	K02226
gene1584	K02227
gene1585	K02230
gene1586	K02231
gene1587	K02232
gene1588	K02233
gene1589	K02234
gene1590	K02236
gene1591	K02237
gene1592	K02238
gene1593	K02240
gene1594	K02241
gene1595	K02242
gene1596	K02243
gene1597	K02244
gene1598	K02245
gene1599	K02246
gene1600	K02248
gene1601	K02250
gene1602	K02255
gene1603	K02256
gene1604	K02257
gene1605	K02259
gene1606	K02274
gene1607	K02275
gene1608	K02276
gene1609	K02277
gene1610	K02278
gene1611	K02279
gene1612	K02280
gene1613	K02282
gene1614	K02283
gene1615	K02288
gene1616	K02291
gene1617	K02293
gene1618	K02297
gene1619	K02298
gene1620	K02299
gene1621	K02300
gene1622	K02301
gene1623	K02302
gene1624	K02303
gene1625	K02304
gene1626	K02312
gene1627	K02313
gene1628	K02314
gene1629	K02315
gene1630	K02316
gene1631	K02317
gene1632	K02319
gene1633	K02320
gene1634	K02321
gene1635	K02322
gene1636	K02323
gene1637	K02324
gene1638	K02325
gene1639	K02327
gene1640	K02328
gene1641	K02330
gene1642	K02331
gene1643	K02334
