gene1132	K01736
gene1133	K01737
gene1134	K01738
gene1135	K01739
gene1136	K01740
gene1137	K01741
gene1138	K01743
gene1139	K01744
gene1140	K01745
gene1141	K01746
gene1142	K01749
gene1143	K01750
gene1144	K01751
gene1145	K01752
gene1146	K01753
gene1147	K01754
gene1148	K01755
gene1149	K01756
gene1150	K01757
gene1151	K01758
gene1152	K01759
gene1153	K01760
gene1154	K01761
gene1155	K01766
gene1156	K01768
gene1157	K01770
gene1158	K01771
gene1159	K01772
gene1160	K01774
gene1161	K01775
gene1162	K01776
gene1163	K01777
gene1164	K01778
gene1165	K01779
gene1166	K01780
gene1167	K01781
gene1168	K01782
gene1169	K01783
gene1170	K01784
gene1171	K01785
gene1172	K01786
gene1173	K01787
gene1174	K01788
gene1175	K01789
gene1176	K01790
gene1177	K01791
gene1178	K01792
gene1179	K01795
gene1180	K01796
gene1181	K01797
gene1182	K01798
gene1183	K01799
gene1184	K01800
gene1185	K01802
gene1186	K01803
gene1187	K01804
gene1188	K01805
gene1189	K01807
gene1190	K01808
gene1191	K01809
gene1192	K01810
gene1193	K01811
gene1194	K01812
gene1195	K01813
gene1196	K01814
gene1197	K01815
gene1198	K01816
gene1199	K01817
gene1200	K01818
gene1201	K01819
gene1202	K01820
gene1203	K01821
gene1204	K01822
gene1205	K01823
gene1206	K01824
gene1207	K01825
gene1208	K01826
gene1209	K01828
gene1210	K01829
gene1211	K01834
gene1212	K01835
gene1213	K01838
gene1214	K01839
gene1215	K01840
gene1216	K01841
gene1217	K01843
gene1218	K01844
gene1219	K01845
gene1220	K01846
gene1221	K01847
gene1222	K01848
gene1223	K01849
gene1224	K01850
gene1225	K01851
gene1226	K01852
gene1227	K01854
gene1228	K01856
gene1229	K01857
gene1230	K01858
gene1231	K01860
gene1232	K01865
gene1233	K01866
gene1234	K01867
gene1235	K01868
gene1236	K01869
gene1237	K01870
gene1238	K01872
gene1239	K01873
gene1240	K01874
gene1241	K01875
gene1242	K01876
gene1243	K01878
gene1244	K01879
gene1245	K01880
gene1246	K01881
gene1247	K01883
gene1248	K01884
gene1249	K01885
gene1250	K01886
gene1251	K01887
gene1252	K01889
gene1253	K01890
gene1254	K01892
gene1255	K01893
gene1256	K01894
gene1257	K01895
gene1258	K01897
gene1259	K01902
gene1260	K01903
gene1261	K01904
gene1262	K01905
gene1263	K01906
gene1264	K01907
gene1265	K01908
gene1266	K01909
gene1267	K01910
gene1268	K01911
gene1269	K01912
gene1270	K01913
gene1271	K01914
gene1272	K01915
gene1273	K01916
gene1274	K01917
gene1275	K01918
gene1276	K01919
gene1277	K01920
gene1278	K01921
gene1279	K01922
gene1280	K01923
gene1281	K01924
gene1282	K01925
gene1283	K01926
gene1284	K01928
gene1285	K01929
gene1286	K01932
gene1287	K01933
gene1288	K01934
gene1289	K01935
gene1290	K01937
gene1291	K01938
gene1292	K01939
gene1293	K01940
gene1294	K01941
gene1295	K01942
gene1296	K01945
gene1297	K01947
gene1298	K01950
gene1299	K01951
gene1300	K01952
gene1301	K01953
gene1302	K01955
gene1303	K01956
gene1304	K01957
gene1305	K01958
